"master_id","total_revenue","spending_category"
"5d1c466a-9cfd-11e9-9897-000d3a38a36f","45905.10","High Spender"
"d5ef8058-a5c6-11e9-a2fc-000d3a38a36f","36818.29","High Spender"
"73fd19aa-9e37-11e9-9897-000d3a38a36f","33918.10","High Spender"
"7137a5c0-7aad-11ea-8f20-000d3a38a36f","31227.41","High Spender"
"47a642fe-975b-11eb-8c2a-000d3a38a36f","20706.34","High Spender"
"a4d534a2-5b1b-11eb-8dbd-000d3a38a36f","18443.57","High Spender"
"d696c654-2633-11ea-8e1c-000d3a38a36f","16918.57","High Spender"
"fef57ffa-aae6-11e9-a2fc-000d3a38a36f","12726.10","High Spender"
"cba59206-9dd1-11e9-9897-000d3a38a36f","12282.24","High Spender"
"fc0ce7a4-9d87-11e9-9897-000d3a38a36f","12103.15","High Spender"
"a57f4302-b1a8-11e9-89fa-000d3a38a36f","10383.44","High Spender"
"21d218f4-a91a-11e9-a2fc-000d3a38a36f","10221.68","High Spender"
"625f40a2-5bd2-11ea-98b0-000d3a38a36f","9953.31","High Spender"
"90d628b6-1928-11ea-b6a2-000d3a38a36f","8747.71","High Spender"
"0e8c7b30-ac18-11e9-a2fc-000d3a38a36f","8617.32","High Spender"
"fdbe8304-a7ab-11e9-a2fc-000d3a38a36f","8572.23","High Spender"
"695889b4-d6ed-11e9-93bc-000d3a38a36f","8246.53","High Spender"
"f7e2335e-a7c4-11e9-a2fc-000d3a38a36f","7953.47","High Spender"
"7eed6468-4540-11ea-acaf-000d3a38a36f","7823.63","High Spender"
"f59053e2-a503-11e9-a2fc-000d3a38a36f","7745.27","High Spender"
"a1f47852-aa90-11e9-a2fc-000d3a38a36f","7403.35","High Spender"
"e205f2ee-acdf-11e9-a2fc-000d3a38a36f","7247.97","High Spender"
"8da3ff88-a934-11e9-a2fc-000d3a38a36f","7196.42","High Spender"
"9d71d5e2-ada9-11e9-a2fc-000d3a38a36f","7190.92","High Spender"
"55d54d9e-8ac7-11ea-8ec0-000d3a38a36f","7084.43","High Spender"
"e143b6fa-d6f8-11e9-93bc-000d3a38a36f","7048.00","High Spender"
"bdf7a804-b1dd-11e9-89fa-000d3a38a36f","6844.21","High Spender"
"7a551e1c-9ed5-11e9-9897-000d3a38a36f","6840.54","High Spender"
"7af5cd16-b100-11e9-9757-000d3a38a36f","6755.84","High Spender"
"c430fc0e-27ce-11ea-aaaa-000d3a38a36f","6687.08","High Spender"
"2da98f66-b150-11e9-9757-000d3a38a36f","6518.73","High Spender"
"2f1797c8-a0e6-11e9-a2fc-000d3a38a36f","6284.78","High Spender"
"f24f6988-acd9-11e9-a2fc-000d3a38a36f","6275.68","High Spender"
"00cf8494-9da2-11e9-9897-000d3a38a36f","6275.33","High Spender"
"9bf5a2a2-9e8b-11e9-9897-000d3a38a36f","6249.44","High Spender"
"6083756a-66a3-11ea-82da-000d3a38a36f","6157.16","High Spender"
"ec236462-9d8c-11e9-9897-000d3a38a36f","6090.53","High Spender"
"2e57f772-b21d-11e9-b5cf-000d3a38a36f","6075.35","High Spender"
"a665d39e-a0d2-11e9-a2fc-000d3a38a36f","6023.28","High Spender"
"fdd08240-244a-11ea-a30f-000d3a38a36f","5991.94","High Spender"
"c6d37a18-a9a2-11e9-a2fc-000d3a38a36f","5881.74","High Spender"
"b95511d4-aa3e-11e9-a2fc-000d3a38a36f","5840.32","High Spender"
"e31293ac-d63a-11e9-93bc-000d3a38a36f","5816.69","High Spender"
"3339434a-b173-11e9-89fa-000d3a38a36f","5769.03","High Spender"
"dbabb58e-6312-11ea-a6dc-000d3a38a36f","5747.50","High Spender"
"8f364236-a6ad-11e9-a2fc-000d3a38a36f","5739.76","High Spender"
"8aa34b16-abb6-11e9-a2fc-000d3a38a36f","5714.41","High Spender"
"3cd8715a-afc5-11e9-9757-000d3a38a36f","5644.74","High Spender"
"53206d4c-190f-11ea-9213-000d3a38a36f","5576.47","High Spender"
"ce9a44fe-2a83-11ea-b3a7-000d3a38a36f","5548.32","High Spender"
"16ef5a7e-b120-11e9-9757-000d3a38a36f","5483.03","High Spender"
"97ca1964-aaa3-11e9-a2fc-000d3a38a36f","5464.52","High Spender"
"15e5ea24-a7d1-11e9-a2fc-000d3a38a36f","5402.42","High Spender"
"76f5a0e0-aff9-11e9-9757-000d3a38a36f","5375.79","High Spender"
"630c89a2-a15f-11e9-a2fc-000d3a38a36f","5331.03","High Spender"
"ca86fbaa-b120-11e9-9757-000d3a38a36f","5320.59","High Spender"
"b27e241a-a901-11e9-a2fc-000d3a38a36f","5297.88","High Spender"
"9d9c2088-ac1c-11e9-a2fc-000d3a38a36f","5261.91","High Spender"
"44d032ee-a0d4-11e9-a2fc-000d3a38a36f","5184.05","High Spender"
"97ddd72a-fee9-11e9-a5e8-000d3a38a36f","5126.92","High Spender"
"a18e045e-acc6-11e9-a2fc-000d3a38a36f","5125.91","High Spender"
"e626cea6-a7ae-11e9-a2fc-000d3a38a36f","5118.01","High Spender"
"f8dac5f0-a2ba-11e9-a2fc-000d3a38a36f","5094.36","High Spender"
"f2964aa8-ac69-11e9-a2fc-000d3a38a36f","5041.82","High Spender"
"1e4fcad2-a57d-11e9-a2fc-000d3a38a36f","5001.79","High Spender"
"8133d6f2-ee07-11e9-9346-000d3a38a36f","4974.02","High Spender"
"9c49d80e-aabb-11e9-a2fc-000d3a38a36f","4970.81","High Spender"
"b3ce8ffa-9eb9-11e9-9897-000d3a38a36f","4969.08","High Spender"
"e70a6778-b128-11e9-9757-000d3a38a36f","4960.56","High Spender"
"4dffe7d8-44b2-11ea-8b43-000d3a38a36f","4898.65","High Spender"
"27310582-6362-11ea-a6dc-000d3a38a36f","4897.55","High Spender"
"fac5ea30-a7eb-11e9-a2fc-000d3a38a36f","4876.76","High Spender"
"1d84198c-6bed-11ea-8792-000d3a38a36f","4873.14","High Spender"
"8fd88976-6708-11ea-9d38-000d3a38a36f","4859.39","High Spender"
"1d033d3a-b090-11e9-9757-000d3a38a36f","4847.92","High Spender"
"2ff88bba-aa6a-11e9-a2fc-000d3a38a36f","4841.44","High Spender"
"e6c4f4ba-a839-11e9-a2fc-000d3a38a36f","4835.56","High Spender"
