"master_id","last_order_date","time_since_last_order"
"37311606-6133-11ea-8dd8-000d3a38a36f","2020-05-30","1 year 10 days"
"88f50d9e-543b-11ea-b1db-000d3a38a36f","2020-05-30","1 year 10 days"
"ef9da7a4-4f68-11ea-99ba-000d3a38a36f","2020-05-30","1 year 10 days"
"3b75a358-afea-11e9-9757-000d3a38a36f","2020-05-30","1 year 10 days"
"473361e2-5b3b-11ea-b969-000d3a38a36f","2020-05-30","1 year 10 days"
"0c3b9d26-a2c6-11e9-a2fc-000d3a38a36f","2020-05-30","1 year 10 days"
"ab6b731a-1da2-11ea-8bf2-000d3a38a36f","2020-05-30","1 year 10 days"
"9a8f9dc0-ad34-11e9-a2fc-000d3a38a36f","2020-05-30","1 year 10 days"
"f09f330c-a851-11e9-a2fc-000d3a38a36f","2020-05-30","1 year 10 days"
"a47913b8-974c-11ea-a9c8-000d3a38a36f","2020-05-30","1 year 10 days"
"17946b76-5310-11ea-acd3-000d3a38a36f","2020-05-30","1 year 10 days"
"8cacd356-9eb8-11e9-9897-000d3a38a36f","2020-05-30","1 year 10 days"
"87bf2266-2114-11ea-b50a-000d3a38a36f","2020-05-30","1 year 10 days"
"cf003ff8-ddcf-11e9-a848-000d3a38a36f","2020-05-30","1 year 10 days"
"ee981ab6-a44a-11e9-a2fc-000d3a38a36f","2020-05-30","1 year 10 days"
"f4595f52-f11e-11e9-9346-000d3a38a36f","2020-05-30","1 year 10 days"
"929228ac-a5d4-11e9-a2fc-000d3a38a36f","2020-05-30","1 year 10 days"
"2fef52f0-d63b-11e9-93bc-000d3a38a36f","2020-05-30","1 year 10 days"
"043f4824-a5d3-11e9-a2fc-000d3a38a36f","2020-05-30","1 year 10 days"
"84517682-f730-11e9-841e-000d3a38a36f","2020-05-30","1 year 10 days"
"e7fcc086-18e3-11ea-9213-000d3a38a36f","2020-05-30","1 year 10 days"
"1c093c18-1aee-11ea-98d5-000d3a38a36f","2020-05-30","1 year 10 days"
"a4e242ba-22e5-11ea-8523-000d3a38a36f","2020-05-30","1 year 10 days"
"c34e7260-3db5-11ea-9e19-000d3a38a36f","2020-05-30","1 year 10 days"
"6c3295f0-ac8e-11e9-a2fc-000d3a38a36f","2020-05-30","1 year 10 days"
"32314cda-b1ba-11e9-89fa-000d3a38a36f","2020-05-30","1 year 10 days"
"6a12f298-4986-11ea-8a4f-000d3a38a36f","2020-05-30","1 year 10 days"
"4b3c7d62-a90e-11e9-a2fc-000d3a38a36f","2020-05-30","1 year 10 days"
"62a7fbcc-aa1a-11e9-a2fc-000d3a38a36f","2020-05-30","1 year 10 days"
"d01e6fd4-f127-11e9-9346-000d3a38a36f","2020-05-31","1 year 9 days"
"3c3407d0-b201-11e9-89fa-000d3a38a36f","2020-05-31","1 year 9 days"
"882e584a-9da5-11e9-9897-000d3a38a36f","2020-05-31","1 year 9 days"
"b666a0a0-2da1-11ea-8e71-000d3a38a36f","2020-05-31","1 year 9 days"
"63cb6d58-ad4a-11e9-a2fc-000d3a38a36f","2020-05-31","1 year 9 days"
"6b2d1e68-2d95-11ea-8e71-000d3a38a36f","2020-05-31","1 year 9 days"
"46cf469e-5f82-11ea-be5b-000d3a38a36f","2020-05-31","1 year 9 days"
"6258bb26-6454-11ea-a6dc-000d3a38a36f","2020-05-31","1 year 9 days"
"44aa1484-1f27-11ea-87bf-000d3a38a36f","2020-05-31","1 year 9 days"
"df47b76a-9ecd-11e9-9897-000d3a38a36f","2020-05-31","1 year 9 days"
"07bc494a-d89e-11e9-93bc-000d3a38a36f","2020-05-31","1 year 9 days"
"0162aa7a-3f10-11ea-b794-000d3a38a36f","2020-05-31","1 year 9 days"
"398081bc-1f93-11ea-87bf-000d3a38a36f","2020-05-31","1 year 9 days"
"dac73d22-2b46-11ea-9d27-000d3a38a36f","2020-05-31","1 year 9 days"
"9af612a0-9dfb-11e9-9897-000d3a38a36f","2020-05-31","1 year 9 days"
"2d53039c-b0c1-11e9-9757-000d3a38a36f","2020-05-31","1 year 9 days"
"1a9b39d8-40ac-11ea-9be8-000d3a38a36f","2020-05-31","1 year 9 days"
"bd59f2d2-4e5c-11ea-99ba-000d3a38a36f","2020-05-31","1 year 9 days"
"eacebc4e-f726-11e9-841e-000d3a38a36f","2020-05-31","1 year 9 days"
