"master_id","avg_shopping_frequency"
"9ce6e520-89b0-11ea-a6e7-000d3a38a36f","3.00"
"7137a5c0-7aad-11ea-8f20-000d3a38a36f","3.82"
"a57f4302-b1a8-11e9-89fa-000d3a38a36f","4.08"
"47a642fe-975b-11eb-8c2a-000d3a38a36f","5.00"
"a4d534a2-5b1b-11eb-8dbd-000d3a38a36f","6.28"
"fdbe8304-a7ab-11e9-a2fc-000d3a38a36f","7.01"
"4a7e875e-e6ce-11ea-8f44-000d3a38a36f","9.48"
"44d032ee-a0d4-11e9-a2fc-000d3a38a36f","9.49"
"55d54d9e-8ac7-11ea-8ec0-000d3a38a36f","11.88"
"695889b4-d6ed-11e9-93bc-000d3a38a36f","13.60"
"5d1c466a-9cfd-11e9-9897-000d3a38a36f","13.64"
"d5ef8058-a5c6-11e9-a2fc-000d3a38a36f","13.64"
"27310582-6362-11ea-a6dc-000d3a38a36f","15.11"
"a77882ea-a0d2-11e9-a2fc-000d3a38a36f","16.03"
"7af5cd16-b100-11e9-9757-000d3a38a36f","16.66"
"e143b6fa-d6f8-11e9-93bc-000d3a38a36f","18.29"
"d696c654-2633-11ea-8e1c-000d3a38a36f","20.41"
"0e8c7b30-ac18-11e9-a2fc-000d3a38a36f","20.55"
"f24f6988-acd9-11e9-a2fc-000d3a38a36f","21.21"
"90d628b6-1928-11ea-b6a2-000d3a38a36f","21.35"
"6083756a-66a3-11ea-82da-000d3a38a36f","22.21"
"cba59206-9dd1-11e9-9897-000d3a38a36f","22.89"
"7eed6468-4540-11ea-acaf-000d3a38a36f","23.01"
"2da98f66-b150-11e9-9757-000d3a38a36f","23.38"
"c430fc0e-27ce-11ea-aaaa-000d3a38a36f","23.82"
"e205f2ee-acdf-11e9-a2fc-000d3a38a36f","26.48"
"fdd08240-244a-11ea-a30f-000d3a38a36f","26.64"
"b27e241a-a901-11e9-a2fc-000d3a38a36f","27.00"
"724e85c0-a77f-11e9-a2fc-000d3a38a36f","27.21"
"8da3ff88-a934-11e9-a2fc-000d3a38a36f","27.34"
"9d71d5e2-ada9-11e9-a2fc-000d3a38a36f","27.43"
"25caf8cc-1846-11ea-9213-000d3a38a36f","27.56"
"f7e2335e-a7c4-11e9-a2fc-000d3a38a36f","28.13"
"4dffe7d8-44b2-11ea-8b43-000d3a38a36f","28.33"
"ca86fbaa-b120-11e9-9757-000d3a38a36f","29.22"
"3cd8715a-afc5-11e9-9757-000d3a38a36f","29.59"
"bbc236ae-9f35-11e9-9897-000d3a38a36f","30.18"
"3339434a-b173-11e9-89fa-000d3a38a36f","30.27"
"b8454b1a-4f11-11ea-99ba-000d3a38a36f","30.82"
"625f40a2-5bd2-11ea-98b0-000d3a38a36f","32.39"
"73fd19aa-9e37-11e9-9897-000d3a38a36f","32.69"
"dbabb58e-6312-11ea-a6dc-000d3a38a36f","32.94"
"275c65ee-9fa2-11e9-a2fc-000d3a38a36f","33.30"
"8133d6f2-ee07-11e9-9346-000d3a38a36f","33.72"
"efd2ccf8-9fab-11e9-a2fc-000d3a38a36f","33.77"
"f8dac5f0-a2ba-11e9-a2fc-000d3a38a36f","33.87"
"c8c62724-ab4d-11e9-a2fc-000d3a38a36f","34.65"
