"interested_in_categories_12","cum_total"
"[AKTIFCOCUK, AKTIFSPOR]","296779.06"
"[AKTIFCOCUK, COCUK, AKTIFSPOR]","218368.58"
"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]","299126.43"
"[AKTIFCOCUK, COCUK, KADIN]","171474.23"
"[AKTIFCOCUK, COCUK]","215160.70"
"[AKTIFCOCUK, ERKEK, AKTIFSPOR]","166760.77"
"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]","152263.38"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]","478597.50"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN]","133662.73"
"[AKTIFCOCUK, ERKEK, COCUK]","106717.78"
"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]","247415.92"
"[AKTIFCOCUK, ERKEK, KADIN]","81493.88"
"[AKTIFCOCUK, ERKEK]","136818.50"
"[AKTIFCOCUK, KADIN, AKTIFSPOR]","200783.41"
"[AKTIFCOCUK, KADIN]","166269.61"
"[AKTIFCOCUK]","353642.83"
"[AKTIFSPOR]","2373965.87"
"[COCUK, AKTIFSPOR]","242580.14"
"[COCUK, KADIN, AKTIFSPOR]","245603.72"
"[COCUK, KADIN]","303131.87"
"[COCUK]","381699.75"
"[ERKEK, AKTIFSPOR]","1089024.91"
"[ERKEK, COCUK, AKTIFSPOR]","165887.60"
"[ERKEK, COCUK, KADIN, AKTIFSPOR]","350607.32"
"[ERKEK, COCUK, KADIN]","181453.35"
"[ERKEK, COCUK]","144196.49"
"[ERKEK, KADIN, AKTIFSPOR]","941386.51"
"[ERKEK, KADIN]","624090.90"
"[ERKEK]","1106934.44"
"[KADIN, AKTIFSPOR]","1132049.56"
"[KADIN]","1139066.02"
"[]","1136553.55"
