"interested_in_categories_12","year_month","total_sales","rolling_3_month_sales"
"[AKTIFCOCUK, AKTIFSPOR]","2020-05-01 00:00:00+01","380.96","380.96"
"[AKTIFCOCUK, AKTIFSPOR]","2020-06-01 00:00:00+01","6641.42","7022.38"
"[AKTIFCOCUK, AKTIFSPOR]","2020-07-01 00:00:00+01","4487.18","11509.56"
"[AKTIFCOCUK, AKTIFSPOR]","2020-08-01 00:00:00+01","3194.40","14323.00"
"[AKTIFCOCUK, AKTIFSPOR]","2020-09-01 00:00:00+01","7462.59","15144.17"
"[AKTIFCOCUK, AKTIFSPOR]","2020-10-01 00:00:00+01","16246.23","26903.22"
"[AKTIFCOCUK, AKTIFSPOR]","2020-11-01 00:00:00+00","17305.03","41013.85"
"[AKTIFCOCUK, AKTIFSPOR]","2020-12-01 00:00:00+00","9615.34","43166.60"
"[AKTIFCOCUK, AKTIFSPOR]","2021-01-01 00:00:00+00","27261.77","54182.14"
"[AKTIFCOCUK, AKTIFSPOR]","2021-02-01 00:00:00+00","31304.79","68181.90"
"[AKTIFCOCUK, AKTIFSPOR]","2021-03-01 00:00:00+00","39922.30","98488.86"
"[AKTIFCOCUK, AKTIFSPOR]","2021-04-01 00:00:00+01","57359.06","128586.15"
"[AKTIFCOCUK, AKTIFSPOR]","2021-05-01 00:00:00+01","75597.99","172879.35"
"[AKTIFCOCUK, COCUK, AKTIFSPOR]","2020-06-01 00:00:00+01","1963.78","1963.78"
"[AKTIFCOCUK, COCUK, AKTIFSPOR]","2020-07-01 00:00:00+01","8995.31","10959.09"
"[AKTIFCOCUK, COCUK, AKTIFSPOR]","2020-08-01 00:00:00+01","2800.24","13759.33"
"[AKTIFCOCUK, COCUK, AKTIFSPOR]","2020-09-01 00:00:00+01","5524.84","17320.39"
"[AKTIFCOCUK, COCUK, AKTIFSPOR]","2020-10-01 00:00:00+01","4947.60","13272.68"
"[AKTIFCOCUK, COCUK, AKTIFSPOR]","2020-11-01 00:00:00+00","18819.59","29292.03"
"[AKTIFCOCUK, COCUK, AKTIFSPOR]","2020-12-01 00:00:00+00","5443.27","29210.46"
"[AKTIFCOCUK, COCUK, AKTIFSPOR]","2021-01-01 00:00:00+00","20300.75","44563.61"
"[AKTIFCOCUK, COCUK, AKTIFSPOR]","2021-02-01 00:00:00+00","13280.09","39024.11"
"[AKTIFCOCUK, COCUK, AKTIFSPOR]","2021-03-01 00:00:00+00","26231.03","59811.87"
"[AKTIFCOCUK, COCUK, AKTIFSPOR]","2021-04-01 00:00:00+01","21044.52","60555.64"
"[AKTIFCOCUK, COCUK, AKTIFSPOR]","2021-05-01 00:00:00+01","89017.56","136293.11"
"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]","2020-06-01 00:00:00+01","3484.58","3484.58"
"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]","2020-07-01 00:00:00+01","4822.85","8307.43"
"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]","2020-09-01 00:00:00+01","7290.78","15598.21"
"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]","2020-10-01 00:00:00+01","1820.15","13933.78"
"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]","2020-11-01 00:00:00+00","17776.67","26887.60"
"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]","2020-12-01 00:00:00+00","16748.03","36344.85"
"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]","2021-01-01 00:00:00+00","34437.81","68962.51"
"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]","2021-02-01 00:00:00+00","18138.38","69324.22"
"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]","2021-03-01 00:00:00+00","35967.68","88543.87"
