"interested_in_categories_12","total_sales","cum_total"
"[AKTIFCOCUK, AKTIFSPOR]","116.96","116.96"
"[AKTIFCOCUK, AKTIFSPOR]","183.97","300.93"
"[AKTIFCOCUK, AKTIFSPOR]","190.48","491.41"
"[AKTIFCOCUK, AKTIFSPOR]","202.97","694.38"
"[AKTIFCOCUK, AKTIFSPOR]","207.94","902.32"
"[AKTIFCOCUK, AKTIFSPOR]","209.97","1112.29"
"[AKTIFCOCUK, AKTIFSPOR]","219.97","1332.26"
"[AKTIFCOCUK, AKTIFSPOR]","225.86","1558.12"
"[AKTIFCOCUK, AKTIFSPOR]","237.48","1795.60"
"[AKTIFCOCUK, AKTIFSPOR]","254.95","2050.55"
"[AKTIFCOCUK, AKTIFSPOR]","256.39","2306.94"
"[AKTIFCOCUK, AKTIFSPOR]","266.17","2573.11"
"[AKTIFCOCUK, AKTIFSPOR]","270.47","3114.05"
"[AKTIFCOCUK, AKTIFSPOR]","270.47","3114.05"
"[AKTIFCOCUK, AKTIFSPOR]","274.97","3389.02"
"[AKTIFCOCUK, AKTIFSPOR]","282.64","3671.66"
"[AKTIFCOCUK, AKTIFSPOR]","287.45","3959.11"
"[AKTIFCOCUK, AKTIFSPOR]","289.98","4249.09"
"[AKTIFCOCUK, AKTIFSPOR]","306.97","4556.06"
"[AKTIFCOCUK, AKTIFSPOR]","307.95","4864.01"
"[AKTIFCOCUK, AKTIFSPOR]","308.10","5172.11"
"[AKTIFCOCUK, AKTIFSPOR]","309.89","5482.00"
"[AKTIFCOCUK, AKTIFSPOR]","311.96","5793.96"
"[AKTIFCOCUK, AKTIFSPOR]","312.47","6106.43"
"[AKTIFCOCUK, AKTIFSPOR]","314.97","6421.40"
"[AKTIFCOCUK, AKTIFSPOR]","315.85","6737.25"
"[AKTIFCOCUK, AKTIFSPOR]","319.96","7057.21"
"[AKTIFCOCUK, AKTIFSPOR]","319.97","7377.18"
"[AKTIFCOCUK, AKTIFSPOR]","320.41","7697.59"
"[AKTIFCOCUK, AKTIFSPOR]","322.04","8019.63"
"[AKTIFCOCUK, AKTIFSPOR]","329.97","8349.60"
"[AKTIFCOCUK, AKTIFSPOR]","340.06","8689.66"
"[AKTIFCOCUK, AKTIFSPOR]","340.95","9030.61"
"[AKTIFCOCUK, AKTIFSPOR]","344.99","9375.60"
"[AKTIFCOCUK, AKTIFSPOR]","350.67","9726.27"
"[AKTIFCOCUK, AKTIFSPOR]","351.95","10078.22"
"[AKTIFCOCUK, AKTIFSPOR]","355.07","10433.29"
"[AKTIFCOCUK, AKTIFSPOR]","359.45","10792.74"
"[AKTIFCOCUK, AKTIFSPOR]","363.94","11156.68"
"[AKTIFCOCUK, AKTIFSPOR]","367.95","11524.63"
"[AKTIFCOCUK, AKTIFSPOR]","376.80","11901.43"
"[AKTIFCOCUK, AKTIFSPOR]","377.70","12279.13"
"[AKTIFCOCUK, AKTIFSPOR]","379.96","12659.09"
"[AKTIFCOCUK, AKTIFSPOR]","380.19","13039.28"
"[AKTIFCOCUK, AKTIFSPOR]","380.96","13420.24"
"[AKTIFCOCUK, AKTIFSPOR]","382.85","13803.09"
"[AKTIFCOCUK, AKTIFSPOR]","385.95","14189.04"
"[AKTIFCOCUK, AKTIFSPOR]","387.45","14576.49"
"[AKTIFCOCUK, AKTIFSPOR]","389.67","14966.16"
"[AKTIFCOCUK, AKTIFSPOR]","389.90","15356.06"
"[AKTIFCOCUK, AKTIFSPOR]","390.93","15746.99"
"[AKTIFCOCUK, AKTIFSPOR]","390.94","16137.93"
"[AKTIFCOCUK, AKTIFSPOR]","411.96","16549.89"
"[AKTIFCOCUK, AKTIFSPOR]","413.96","16963.85"
"[AKTIFCOCUK, AKTIFSPOR]","418.80","17382.65"
"[AKTIFCOCUK, AKTIFSPOR]","420.70","17803.35"
"[AKTIFCOCUK, AKTIFSPOR]","421.42","18224.77"
"[AKTIFCOCUK, AKTIFSPOR]","421.93","18646.70"
"[AKTIFCOCUK, AKTIFSPOR]","424.94","19071.64"
"[AKTIFCOCUK, AKTIFSPOR]","425.38","19497.02"
"[AKTIFCOCUK, AKTIFSPOR]","425.39","19922.41"
"[AKTIFCOCUK, AKTIFSPOR]","427.94","20350.35"
"[AKTIFCOCUK, AKTIFSPOR]","429.38","20779.73"
"[AKTIFCOCUK, AKTIFSPOR]","429.52","21209.25"
"[AKTIFCOCUK, AKTIFSPOR]","431.42","21640.67"
"[AKTIFCOCUK, AKTIFSPOR]","433.07","22073.74"
"[AKTIFCOCUK, AKTIFSPOR]","435.81","22509.55"
"[AKTIFCOCUK, AKTIFSPOR]","435.94","22945.49"
"[AKTIFCOCUK, AKTIFSPOR]","435.96","23381.45"
"[AKTIFCOCUK, AKTIFSPOR]","436.20","23817.65"
"[AKTIFCOCUK, AKTIFSPOR]","439.97","24257.62"
"[AKTIFCOCUK, AKTIFSPOR]","442.43","24700.05"
"[AKTIFCOCUK, AKTIFSPOR]","444.89","25144.94"
"[AKTIFCOCUK, AKTIFSPOR]","454.46","25599.40"
"[AKTIFCOCUK, AKTIFSPOR]","454.84","26054.24"
"[AKTIFCOCUK, AKTIFSPOR]","455.91","26510.15"
"[AKTIFCOCUK, AKTIFSPOR]","459.98","26970.13"
"[AKTIFCOCUK, AKTIFSPOR]","461.95","27432.08"
"[AKTIFCOCUK, AKTIFSPOR]","463.90","27895.98"
"[AKTIFCOCUK, AKTIFSPOR]","469.89","28365.87"
"[AKTIFCOCUK, AKTIFSPOR]","469.96","28835.83"
"[AKTIFCOCUK, AKTIFSPOR]","470.72","29306.55"
"[AKTIFCOCUK, AKTIFSPOR]","473.11","29779.66"
"[AKTIFCOCUK, AKTIFSPOR]","474.73","30254.39"
"[AKTIFCOCUK, AKTIFSPOR]","476.55","30730.94"
"[AKTIFCOCUK, AKTIFSPOR]","479.70","31210.64"
"[AKTIFCOCUK, AKTIFSPOR]","479.97","31690.61"
"[AKTIFCOCUK, AKTIFSPOR]","482.95","32173.56"
"[AKTIFCOCUK, AKTIFSPOR]","483.94","32657.50"
"[AKTIFCOCUK, AKTIFSPOR]","485.95","33143.45"
"[AKTIFCOCUK, AKTIFSPOR]","489.59","33633.04"
"[AKTIFCOCUK, AKTIFSPOR]","489.93","34122.97"
"[AKTIFCOCUK, AKTIFSPOR]","489.97","34612.94"
"[AKTIFCOCUK, AKTIFSPOR]","492.97","35105.91"
"[AKTIFCOCUK, AKTIFSPOR]","493.44","35599.35"
"[AKTIFCOCUK, AKTIFSPOR]","494.95","36094.30"
"[AKTIFCOCUK, AKTIFSPOR]","503.69","36597.99"
